cod.munic;latitude;longitude
2211357;-9.239;-42.964
2211407;-6.545;-42.246
2211506;-7.603;-41.483
2211605;-7.136;-40.94
2211704;-7.233;-41.91
2300101;-7.359;-39.046
2300150;-4.224;-38.708
2300200;-2.886;-40.12
2300309;-6.095;-39.453
2300408;-6.574;-40.124
2300507;-3.589;-40.546
2300606;-7.002;-39.741
2300705;-5.521;-38.272
2300754;-3.361;-39.831
2300804;-6.775;-39.989
2300903;-3.949;-39.432
2301000;-3.901;-38.391
2301109;-4.562;-37.77
2301208;-4.371;-38.814
2301257;-4.753;-40.833
2301307;-7.213;-40.046
2301406;-4.418;-39.045
2301505;-6.324;-40.161
2301604;-6.874;-39.875
2301703;-6.943;-38.968
2301802;-6.73;-38.717
2301851;-5.31;-38.921
2301901;-7.305;-39.302
2301950;-4.287;-38.643
2302008;-7.177;-38.782
2302057;-3.019;-41.137
2302107;-4.329;-38.885
2302206;-4.18;-38.131
2302305;-3.051;-40.168
2302404;-5.128;-39.732
2302503;-7.493;-38.985
2302602;-2.902;-40.841
2302701;-7.074;-40.376
2302800;-4.359;-39.312
2302909;-4.47;-38.901
2303006;-4.232;-39.193
2303105;-3.951;-40.473
2303204;-7.042;-39.284
2303303;-6.537;-39.497
2303402;-4.167;-40.943
2303501;-4.131;-38.236
2303600;-6.131;-39.878
2303659;-4.648;-40.201
2303709;-3.733;-38.656
2303808;-6.607;-39.062
2303907;-3.034;-41.244
2303931;-4.843;-39.141
2303956;-4.3;-38.497
2304004;-3.533;-40.657
2304103;-5.178;-40.678
2304202;-7.234;-39.409
2304236;-4.4;-40.911
2304251;-2.918;-40.172
2304269;-5.917;-39.268
2304277;-6.032;-38.349
2304285;-3.89;-38.451
2304301;-6.931;-39.566
2304350;-3.798;-40.261
2304400;-3.717;-38.543
2304459;-4.452;-37.797
2304509;-3.76;-40.816
2304608;-4.053;-39.454
2304657;-4.046;-40.753
2304707;-3.12;-40.826
2304806;-6.888;-39.218
2304905;-3.913;-40.383
2304954;-4.04;-38.637
2305001;-4.167;-40.748
2305100;-4.263;-38.933
2305209;-4.408;-40.438
2305233;-4.099;-38.496
2305266;-4.804;-38.753
2305308;-3.923;-40.889
2305332;-4.974;-38.639
2305357;-4.713;-37.355
2305407;-6.401;-38.862
2305506;-6.359;-39.299
2305605;-5.396;-40.309
2305654;-4.9;-40.759
2305704;-6.79;-38.719
2305803;-4.322;-40.711
2305902;-4.542;-40.719
2306009;-5.812;-38.306
2306108;-3.746;-39.783
2306207;-4.674;-37.822
2306256;-3.969;-38.528
2306306;-3.687;-39.586
2306405;-3.494;-39.579
2306504;-4.564;-38.922
2306553;-2.92;-39.915
2306603;-4.529;-39.622
2306702;-5.613;-38.767
2306801;-5.658;-38.62
2306900;-5.891;-38.622
2307007;-4.834;-37.781
2307106;-7.582;-39.298
2307205;-7.686;-39.016
2307254;-2.794;-40.513
2307304;-7.213;-39.315
2307403;-6.525;-39.528
2307502;-6.753;-38.972
2307601;-5.146;-38.098
2307635;-4.857;-39.577
2307650;-3.877;-38.626
2307700;-3.89;-38.686
2307809;-3.124;-40.147
2307908;-3.226;-40.697
2308005;-3.523;-40.343
2308104;-7.389;-38.774
